gx,gy,gz,ax,ay,az,gtemp,magx,magy,magz
1.534,1.466,-0.191,-0.017,-0.014,0.978,33.94,-631.00,-716.00,-880.00
1.939,1.634,-0.107,-0.018,-0.011,0.981,33.85,-621.00,-723.00,-877.00
1.626,1.260,-0.115,-0.015,-0.010,0.981,34.04,-641.00,-726.00,-882.00
1.641,1.450,-0.153,-0.014,-0.011,0.978,33.99,-633.00,-713.00,-882.00
1.779,1.557,-0.137,-0.012,-0.010,0.977,33.80,-628.00,-718.00,-875.00
1.664,1.359,-0.214,-0.016,-0.010,0.984,33.85,-631.00,-740.00,-880.00
1.557,1.534,0.092,-0.017,-0.007,0.983,33.71,-638.00,-726.00,-887.00
1.595,1.427,-0.214,-0.014,-0.009,0.979,33.80,-628.00,-728.00,-875.00
1.817,1.473,-0.122,-0.015,-0.011,0.979,33.71,-633.00,-711.00,-885.00
1.405,1.435,-0.061,-0.014,-0.011,0.986,33.52,-641.00,-718.00,-885.00
1.550,1.542,-0.290,-0.016,-0.008,0.982,33.52,-641.00,-728.00,-880.00
1.824,1.351,-0.015,-0.011,-0.009,0.987,33.61,-638.00,-718.00,-895.00
